{'age': 1.0, 'workclass': 'Private', 'fnlwgt': 343303.0, 'education': '10th', 'educational-num': -2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.613181710243225, 'capital-loss': -0.22077152132987976, 'hours-per-week': 38.0, 'native-country': 'Mexico'}
{'age': 21.0, 'workclass': 'Private', 'fnlwgt': 149867.0, 'education': 'Some-college', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.2775941789150238, 'capital-loss': 0.32620811462402344, 'hours-per-week': 16.0, 'native-country': 'United-States'}

{'age': 3.0, 'workclass': 'Private', 'fnlwgt': 189292.0, 'education': '11th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.086678147315979, 'capital-loss': 0.23300722241401672, 'hours-per-week': 3.0, 'native-country': 'United-States'}

{'age': 27.0, 'workclass': 'Private', 'fnlwgt': 56451.0, 'education': 'HS-grad', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.022292062640190125, 'capital-loss': -0.3627883493900299, 'hours-per-week': 38.0, 'native-country': 'United-States'}

{'age': 21.0, 'workclass': '?', 'fnlwgt': 160435.0, 'education': '11th', 'educational-num': 8.0, 'marital-status': 'Never-married', 'occupation': '?', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.5548778772354126, 'capital-loss': 1.4074757099151611, 'hours-per-week': -30.0, 'native-country': 'United-States'}

{'age': 21.0, 'workclass': 'Private', 'fnlwgt': 398082.0, 'education': 'HS-grad', 'educational-num': 6.0, 'marital-status': 'Never-married', 'occupation': 'Transport-moving', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.5872255563735962, 'capital-loss': 0.4857957661151886, 'hours-per-week': 94.0, 'native-country': 'United-States'}

{'age': -0.0, 'workclass': 'Private', 'fnlwgt': 269121.0, 'education': 'Some-college', 'educational-num': 12.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5646123886108398, 'capital-loss': -0.5622596740722656, 'hours-per-week': 12.0, 'native-country': 'United-States'}

{'age': 8.0, 'workclass': 'Private', 'fnlwgt': 390770.0, 'education': '11th', 'educational-num': 6.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.7224602699279785, 'capital-loss': -0.2525883615016937, 'hours-per-week': 50.0, 'native-country': 'United-States'}

{'age': -2.0, 'workclass': 'Private', 'fnlwgt': 115040.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.8714380264282227, 'capital-loss': -0.6015708446502686, 'hours-per-week': 18.0, 'native-country': 'United-States'}

{'age': 3.0, 'workclass': 'Private', 'fnlwgt': 42044.0, 'education': 'Some-college', 'educational-num': 9.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.5112112760543823, 'capital-loss': -0.9783902168273926, 'hours-per-week': 26.0, 'native-country': 'United-States'}

{'age': 72.0, 'workclass': '?', 'fnlwgt': 549105.0, 'education': '7th-8th', 'educational-num': -1.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.9370149374008179, 'capital-loss': 1.1702666282653809, 'hours-per-week': -20.0, 'native-country': 'United-States'}

{'age': 13.0, 'workclass': 'Private', 'fnlwgt': 96590.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.0641977787017822, 'capital-loss': 0.9198446273803711, 'hours-per-week': -23.0, 'native-country': 'United-States'}

{'age': 11.0, 'workclass': 'Private', 'fnlwgt': 72613.0, 'education': '11th', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.4596001207828522, 'capital-loss': -0.2995343506336212, 'hours-per-week': 24.0, 'native-country': 'United-States'}

{'age': 17.0, 'workclass': 'Private', 'fnlwgt': 255843.0, 'education': 'Some-college', 'educational-num': 11.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.3503359258174896, 'capital-loss': 0.5366228818893433, 'hours-per-week': 10.0, 'native-country': 'United-States'}

{'age': 35.0, 'workclass': '?', 'fnlwgt': 331719.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': '?', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.246800422668457, 'capital-loss': 1.4162991046905518, 'hours-per-week': -17.0, 'native-country': 'United-States'}

{'age': 4.0, 'workclass': 'Private', 'fnlwgt': 294684.0, 'education': 'Some-college', 'educational-num': 10.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.48813197016716003, 'capital-loss': -0.400095134973526, 'hours-per-week': 23.0, 'native-country': 'United-States'}

{'age': 4.0, 'workclass': 'Private', 'fnlwgt': 134334.0, 'education': '11th', 'educational-num': 3.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.026997685432434, 'capital-loss': 0.3386031687259674, 'hours-per-week': -5.0, 'native-country': 'United-States'}

{'age': -4.0, 'workclass': 'Private', 'fnlwgt': 220249.0, 'education': '11th', 'educational-num': 2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.33499276638031, 'capital-loss': -0.5049221515655518, 'hours-per-week': 26.0, 'native-country': 'United-States'}

{'age': 2.0, 'workclass': 'Private', 'fnlwgt': 275101.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.9259058237075806, 'capital-loss': -0.4153817594051361, 'hours-per-week': 34.0, 'native-country': 'United-States'}

{'age': 14.0, 'workclass': 'Private', 'fnlwgt': 148154.0, 'education': 'HS-grad', 'educational-num': 7.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.4768492877483368, 'capital-loss': -0.516390323638916, 'hours-per-week': 49.0, 'native-country': 'United-States'}

{'age': 16.0, 'workclass': 'Private', 'fnlwgt': 50891.0, 'education': '11th', 'educational-num': 5.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.7226868867874146, 'capital-loss': 0.32182198762893677, 'hours-per-week': -1.0, 'native-country': 'United-States'}

{'age': 14.0, 'workclass': 'Private', 'fnlwgt': -2055.0, 'education': '11th', 'educational-num': 4.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -0.6210371255874634, 'capital-loss': -0.13327553868293762, 'hours-per-week': 8.0, 'native-country': 'United-States'}

{'age': -3.0, 'workclass': 'Private', 'fnlwgt': 51701.0, 'education': '11th', 'educational-num': 1.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Female', 'capital-gain': -1.2552152872085571, 'capital-loss': -0.21727952361106873, 'hours-per-week': 0.0, 'native-country': 'United-States'}

{'age': 70.0, 'workclass': '?', 'fnlwgt': 189692.0, 'education': '7th-8th', 'educational-num': 6.0, 'marital-status': 'Widowed', 'occupation': '?', 'relationship': 'Not-in-family', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.41368868947029114, 'capital-loss': 0.712246298789978, 'hours-per-week': 0.0, 'native-country': 'United-States'}

{'age': -9.0, 'workclass': 'Private', 'fnlwgt': 260075.0, 'education': '11th', 'educational-num': 2.0, 'marital-status': 'Never-married', 'occupation': 'Other-service', 'relationship': 'Own-child', 'race': 'White', 'gender': 'Male', 'capital-gain': -1.4946821928024292, 'capital-loss': -0.5121012926101685, 'hours-per-week': 23.0, 'native-country': 'United-States'}

