{'age': 46.0, 'workclass': 'Private', 'fnlwgt': 499477.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.2784808576107025, 'capital-loss': -1.0959702730178833, 'hours-per-week': 38.0, 'native-country': 'United-States'}
{'age': 44.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 220914.0, 'education': 'Prof-school', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.6776268482208252, 'capital-loss': -1.2342480421066284, 'hours-per-week': 117.0, 'native-country': 'United-States'}

{'age': 41.0, 'workclass': 'Private', 'fnlwgt': 64831.0, 'education': 'Prof-school', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.5539960861206055, 'capital-loss': -0.7419887781143188, 'hours-per-week': 85.0, 'native-country': 'United-States'}

{'age': 55.0, 'workclass': 'Private', 'fnlwgt': 156074.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.3235662281513214, 'capital-loss': -0.7686570882797241, 'hours-per-week': 56.0, 'native-country': 'United-States'}

{'age': 52.0, 'workclass': 'Private', 'fnlwgt': 179473.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.23007066547870636, 'capital-loss': -0.9904265403747559, 'hours-per-week': 56.0, 'native-country': 'United-States'}

{'age': 50.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 204288.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.47108593583106995, 'capital-loss': -0.8711696863174438, 'hours-per-week': 157.0, 'native-country': 'United-States'}

{'age': 48.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 184359.0, 'education': 'Prof-school', 'educational-num': 21.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.7883073091506958, 'capital-loss': -2.0811734199523926, 'hours-per-week': 125.0, 'native-country': 'United-States'}

{'age': 43.0, 'workclass': 'Private', 'fnlwgt': 245412.0, 'education': 'Bachelors', 'educational-num': 13.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.1894204318523407, 'capital-loss': 0.030676618218421936, 'hours-per-week': 41.0, 'native-country': 'United-States'}

{'age': 59.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 145541.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.2368066906929016, 'capital-loss': -1.5350744724273682, 'hours-per-week': 64.0, 'native-country': 'United-States'}

{'age': 50.0, 'workclass': 'Private', 'fnlwgt': 85282.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.36024704575538635, 'capital-loss': -0.8797352313995361, 'hours-per-week': 56.0, 'native-country': 'United-States'}

{'age': 46.0, 'workclass': 'Private', 'fnlwgt': 175014.0, 'education': 'Bachelors', 'educational-num': 13.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Exec-managerial', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.33365729451179504, 'capital-loss': 0.17556820809841156, 'hours-per-week': 62.0, 'native-country': 'United-States'}

{'age': 57.0, 'workclass': 'Private', 'fnlwgt': 94691.0, 'education': 'Bachelors', 'educational-num': 14.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Exec-managerial', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.5137826204299927, 'capital-loss': -0.46866050362586975, 'hours-per-week': 47.0, 'native-country': 'United-States'}

{'age': 45.0, 'workclass': 'Private', 'fnlwgt': 328099.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.14200475811958313, 'capital-loss': -1.3390467166900635, 'hours-per-week': 54.0, 'native-country': 'United-States'}

{'age': 54.0, 'workclass': 'Private', 'fnlwgt': 106956.0, 'education': 'Doctorate', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.2713718116283417, 'capital-loss': -1.3553338050842285, 'hours-per-week': 47.0, 'native-country': 'United-States'}

{'age': 54.0, 'workclass': 'Private', 'fnlwgt': 319495.0, 'education': 'Doctorate', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.19735005497932434, 'capital-loss': -0.7794541120529175, 'hours-per-week': 45.0, 'native-country': 'United-States'}

{'age': 40.0, 'workclass': 'Private', 'fnlwgt': 70389.0, 'education': 'Prof-school', 'educational-num': 15.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.48766210675239563, 'capital-loss': -0.6874725818634033, 'hours-per-week': 59.0, 'native-country': 'United-States'}

{'age': 47.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 194009.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.6069245338439941, 'capital-loss': -0.9503417015075684, 'hours-per-week': 105.0, 'native-country': 'United-States'}

{'age': 62.0, 'workclass': 'Self-emp-not-inc', 'fnlwgt': 44894.0, 'education': 'Prof-school', 'educational-num': 15.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.553216814994812, 'capital-loss': -0.8371915817260742, 'hours-per-week': 80.0, 'native-country': 'United-States'}

{'age': 65.0, 'workclass': 'Private', 'fnlwgt': 139980.0, 'education': 'Doctorate', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.34112900495529175, 'capital-loss': -1.589494228363037, 'hours-per-week': 57.0, 'native-country': 'United-States'}

{'age': 56.0, 'workclass': 'Private', 'fnlwgt': 364026.0, 'education': 'Bachelors', 'educational-num': 13.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Exec-managerial', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.28673845529556274, 'capital-loss': -0.08650025725364685, 'hours-per-week': 48.0, 'native-country': 'United-States'}

{'age': 37.0, 'workclass': 'Private', 'fnlwgt': 68775.0, 'education': 'Prof-school', 'educational-num': 15.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.553777813911438, 'capital-loss': -0.6868259906768799, 'hours-per-week': 67.0, 'native-country': 'United-States'}

{'age': 40.0, 'workclass': 'Private', 'fnlwgt': 197426.0, 'education': 'Doctorate', 'educational-num': 19.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.3523024618625641, 'capital-loss': -1.7455558776855469, 'hours-per-week': 59.0, 'native-country': 'United-States'}

{'age': 49.0, 'workclass': 'Self-emp-inc', 'fnlwgt': 177296.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.529892086982727, 'capital-loss': -0.8508914709091187, 'hours-per-week': 96.0, 'native-country': 'United-States'}

{'age': 49.0, 'workclass': 'Private', 'fnlwgt': 859399.0, 'education': 'Doctorate', 'educational-num': 19.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': -0.6830227375030518, 'capital-loss': -0.6829626560211182, 'hours-per-week': 42.0, 'native-country': 'United-States'}

{'age': 50.0, 'workclass': 'Private', 'fnlwgt': 107450.0, 'education': 'Masters', 'educational-num': 15.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.2318284660577774, 'capital-loss': -0.7656811475753784, 'hours-per-week': 38.0, 'native-country': 'United-States'}

{'age': 45.0, 'workclass': 'Private', 'fnlwgt': 328697.0, 'education': 'Doctorate', 'educational-num': 18.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.0470985472202301, 'capital-loss': -1.2997852563858032, 'hours-per-week': 48.0, 'native-country': 'United-States'}

{'age': 41.0, 'workclass': 'Private', 'fnlwgt': 56295.0, 'education': 'Prof-school', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.6276668310165405, 'capital-loss': -1.1206543445587158, 'hours-per-week': 86.0, 'native-country': 'United-States'}

{'age': 50.0, 'workclass': 'Private', 'fnlwgt': 45046.0, 'education': 'Prof-school', 'educational-num': 16.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.47433140873908997, 'capital-loss': -1.0079970359802246, 'hours-per-week': 57.0, 'native-country': 'United-States'}

{'age': 49.0, 'workclass': 'Private', 'fnlwgt': 139060.0, 'education': 'Doctorate', 'educational-num': 17.0, 'marital-status': 'Married-civ-spouse', 'occupation': 'Prof-specialty', 'relationship': 'Husband', 'race': 'White', 'gender': 'Male', 'capital-gain': 0.2658361494541168, 'capital-loss': -1.1486014127731323, 'hours-per-week': 55.0, 'native-country': 'United-States'}

